INFO 2026-06-21 16:32:41,875 pipeline 8720 20988 [PIPELINE ASYNC] Extraction enqueued for record 1007711. Returning early.
INFO 2026-06-21 16:32:41,875 redis_orchestrator 8720 15128 [REDIS_STATE_MUTATION_ENTER] record=1007711
INFO 2026-06-21 16:32:41,875 redis_orchestrator 8720 15128 [REDIS_STATE_MUTATION_INPUT] record=1007711 raw_input_status=INGESTED
INFO 2026-06-21 16:32:41,875 redis_orchestrator 8720 15128 [REDIS_STATUS_ASSIGN] record=1007711 assigned_status=INGESTED
INFO 2026-06-21 16:32:41,876 redis_orchestrator 8720 15128 [LIFECYCLE_STATE_NORMALIZED] raw_state=INGESTED normalized_state=INGESTION_COMPLETE record=1007711
INFO 2026-06-21 16:32:41,876 redis_orchestrator 8720 15128 [LIFECYCLE_TRANSITION_ATTEMPT] record=1007711 previous_state=INGESTION_STARTED requested_state=INGESTION_COMPLETE
INFO 2026-06-21 16:32:41,876 redis_orchestrator 8720 15128 [LIFECYCLE_TRANSITION_ACCEPTED] record=1007711 previous_state=INGESTION_STARTED requested_state=INGESTION_COMPLETE
INFO 2026-06-21 16:32:41,876 redis_orchestrator 8720 15128 [REDIS_STATE_WRITE] record=1007711 status=INGESTION_COMPLETE
INFO 2026-06-21 16:32:41,877 redis_orchestrator 8720 15128 [REDIS_STATE_COMMIT] record=1007711 status=INGESTION_COMPLETE
INFO 2026-06-21 16:32:41,877 redis_orchestrator 8720 15128 [STATUS_SYNC_OK] record=1007711 status=INGESTION_COMPLETE progress=20.0%
INFO 2026-06-21 16:32:41,877 ingestion_worker 8720 15128 [INGESTION_TASK_SUCCESS] id=bb7b15df-725c-4904-885a-dd60bf6c72fb record=1007711
INFO 2026-06-21 16:32:41,877 ingestion_worker 8720 15128 [INGESTION_TASK_COMPLETE] id=bb7b15df-725c-4904-885a-dd60bf6c72fb record=1007711
INFO 2026-06-21 16:32:41,877 worker_base 8720 15128 [PIPELINE_STAGE_EXIT] stage=INGESTION correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown
